Waiting for serial port to connect: .....
Setting serial port parameters... Ok
Initiating communication... Ok
0x20000000	0xca00
0x20000004	0x0000
0x20000008	0x6735
0x2000000c	0x8b00
0x20000010	0x0000
0x20000014	0x0000
0x20000018	0x0000
0x2000001c	0x0000
0x20000020	0x0000
0x20000024	0x0000
0x20000028	0x0000
0x2000002c	0x0000
0x20000030	0x0000
0x20000034	0x0000
0x20000038	0x0000
0x2000003c	0x0000
0x20000040	0x0000
0x20000044	0x0000
0x20000048	0x0000
0x2000004c	0x0000
0x20000050	0x0000
0x20000054	0x0000
0x20000058	0x0000
0x2000005c	0x0000
0x20000060	0x0000
0x20000064	0x0000
0x20000068	0x0000
0x2000006c	0x0000
0x20000070	0x0000
0x20000074	0x0000
0x20000078	0x0000
0x2000007c	0x0000
0x20000080	0x0000
0x20000084	0x0000
0x20000088	0x0000
0x2000008c	0x0000
0x20000090	0x0000
0x20000094	0x0000
0x20000098	0x0000
0x2000009c	0x0000
0x200000a0	0x0000
0x200000a4	0x0000
0x200000a8	0x0000
0x200000ac	0x0000
0x200000b0	0x0000
0x200000b4	0x0000
0x200000b8	0x0000
0x200000bc	0x0000
0x200000c0	0x0000
0x200000c4	0x0000
0x200000c8	0x0000
0x200000cc	0x0000
0x200000d0	0x0000
0x200000d4	0x0000
0x200000d8	0x0000
0x200000dc	0x0000
0x200000e0	0x0000
0x200000e4	0x0000
0x200000e8	0x0000
0x200000ec	0x0000
0x200000f0	0x0000
0x200000f4	0x0000
0x200000f8	0x0000
0x200000fc	0x0000
0x20000100	0x0f98
0x20000104	0x0c07
0x20000108	0x02c0
0x2000010c	0x0000
0x20000110	0x4000
0x20000114	0x0000
0x20000118	0x0000
0x2000011c	0x0332
0x20000120	0x0000
0x20000124	0x0000
0x20000128	0x0000
0x2000012c	0x0000
0x20000130	0x0000
0x20000134	0x0000
0x20000138	0x0000
0x2000013c	0x0000
0x20000140	0x0000
0x20000144	0x0000
0x20000148	0x0000
0x2000014c	0x0000
0x20000150	0x0000
0x20000154	0x0000
0x20000158	0x0000
0x2000015c	0x0000
0x20000160	0x0000
0x20000164	0x0000
0x20000168	0x0000
0x2000016c	0x0000
0x20000170	0x0000
0x20000174	0x0000
0x20000178	0x0000
0x2000017c	0x0000
0x20000180	0x0000
0x20000184	0x0000
0x20000188	0x0000
0x2000018c	0x0000
0x20000190	0x0000
0x20000194	0x0000
0x20000198	0x0000
0x2000019c	0x0000
0x200001a0	0x0000
0x200001a4	0x0000
0x200001a8	0x0000
0x200001ac	0x0000
0x200001b0	0x0000
0x200001b4	0x0000
0x200001b8	0x0000
0x200001bc	0x0000
0x200001c0	0x0000
0x200001c4	0x0000
0x200001c8	0x0000
0x200001cc	0x0000
0x200001d0	0x0000
0x200001d4	0x0000
0x200001d8	0x0000
0x200001dc	0x0000
0x200001e0	0x0000
0x200001e4	0x0000
0x200001e8	0x0000
0x200001ec	0x0000
0x200001f0	0x0000
0x200001f4	0x0000
0x200001f8	0x0000
0x200001fc	0x0000
0x20000200	0x0710
0x20000204	0x0001
0x20000208	0x0000
0x2000020c	0x200c
0x20000210	0x0000
0x20000214	0x0000
0x20000218	0x0000
0x2000021c	0x0000
0x20000220	0x0000
0x20000224	0x0000
